--- Printing Model Parameters ---
  179: aux3.conv_out.1.weight                             | Shape: (20, 64, 1, 1)                 | Values: [-0.22853163 -0.26353994  0.5992074   0.11279146 -0.08601559]
  180: aux3.conv_out.1.bias                               | Shape: (20,)                          | Values: [0. 0. 0. 0. 0.]
  181: aux4.conv.conv.weight                              | Shape: (128, 64, 3, 3)                | Values: [-0.02649301  0.0164317   0.04646425  0.03853211  0.04431454]
  182: aux4.conv.bn.gamma                                 | Shape: (128,)                         | Values: [1. 1. 1. 1. 1.]
  183: aux4.conv.bn.beta                                  | Shape: (128,)                         | Values: [0. 0. 0. 0. 0.]
  184: aux4.conv_out.0.0.conv.weight                      | Shape: (256, 128, 3, 3)               | Values: [-0.01885147 -0.01716253 -0.01309259  0.00369337  0.00516936]
  185: aux4.conv_out.0.0.bn.gamma                         | Shape: (256,)                         | Values: [1. 1. 1. 1. 1.]
  186: aux4.conv_out.0.0.bn.beta                          | Shape: (256,)                         | Values: [0. 0. 0. 0. 0.]
  187: aux4.conv_out.1.weight                             | Shape: (20, 256, 1, 1)                | Values: [-0.18225424 -0.22226739  0.04665354 -0.10677661 -0.26655224]
  188: aux4.conv_out.1.bias                               | Shape: (20,)                          | Values: [0. 0. 0. 0. 0.]
  189: aux5_4.conv.conv.weight                            | Shape: (128, 128, 3, 3)               | Values: [ 0.04600699 -0.02446699  0.02484336 -0.02006342  0.03783614]
  190: aux5_4.conv.bn.gamma                               | Shape: (128,)                         | Values: [1. 1. 1. 1. 1.]
  191: aux5_4.conv.bn.beta                                | Shape: (128,)                         | Values: [0. 0. 0. 0. 0.]
